Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Cambiaghi,Attaccante,Bologna,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Butez,Portiere,Como,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,1,0,True
Caqueret,Centrocampista,Como,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Cutrone,Attaccante,Parma,7.00,10.00,1,1,1,0,0,0,1,0,0,0,0,0,0,True
Vazquez,Centrocampista,Cremonese,7.00,10.00,1,0,1,0,0,0,1,0,0,0,0,0,0,True
Fazzini,Centrocampista,Fiorentina,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Gronbaek,Centrocampista,Genoa,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Carboni V.,Centrocampista,Genoa,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Colombo,Attaccante,Genoa,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Vitinha O.,Attaccante,Genoa,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,True
Dele-Bashiru,Centrocampista,Lazio,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Camarda,Attaccante,Lecce,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Fofana Y.,Centrocampista,Milan,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Rrahmani,Difensore,Napoli,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Bernabè,Centrocampista,Parma,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Sohm,Centrocampista,Fiorentina,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Mancini,Difensore,Roma,6.25,6.00,2,0,2,0,1,0,0,0,0,0,0,0,0,True
NDicka,Difensore,Roma,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Solet,Difensore,Udinese,6.25,6.25,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Stengs,Centrocampista,Pisa,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Elmas,Centrocampista,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Zaniolo,Centrocampista,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Hien,Difensore,Atalanta,5.25,3.50,0,0,2,0,1,0,0,0,0,0,1,0,0,True
Fabbian,Centrocampista,Bologna,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Ferguson,Centrocampista,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Dallinga,Attaccante,Bologna,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Vasquez,Difensore,Genoa,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Martin,Difensore,Genoa,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Carlos Augusto,Difensore,Inter,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Pierotti,Centrocampista,Lecce,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Ricci S.,Centrocampista,Milan,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Olivera,Difensore,Napoli,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Valeri,Difensore,Parma,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Cristante,Centrocampista,Roma,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Pellegrini Lo.,Centrocampista,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ekkelenkamp,Centrocampista,Udinese,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Sottil,Centrocampista,Lecce,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Luperto,Difensore,Cagliari,6.75,8.25,2,1,2,0,0,0,1,0,0,0,0,0,0,True
Folorunsho,Centrocampista,Cagliari,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Douvikas,Attaccante,Como,6.25,7.75,1,0,2,0,0,0,1,0,0,0,0,0,0,True
Collocolo,Centrocampista,Cremonese,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
De Luca,Attaccante,Cremonese,7.00,10.00,1,1,1,1,0,0,0,1,0,0,0,0,0,True
Leali,Portiere,Genoa,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,1,0,True
Frendrup,Centrocampista,Genoa,6.00,6.00,2,1,2,0,0,0,0,0,0,0,0,0,0,True
Acerbi,Difensore,Inter,6.00,6.00,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Sucic P.,Centrocampista,Inter,6.00,6.50,1,0,2,0,0,0,0,0,1,0,0,0,0,True
Mkhitaryan,Centrocampista,Inter,6.00,6.00,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Kalulu,Difensore,Juventus,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
McKennie,Centrocampista,Juventus,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,True
Gila,Difensore,Lazio,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Baschirotto,Difensore,Cremonese,6.75,8.25,1,0,2,0,0,0,1,0,0,0,0,0,0,True
Tete Morente,Centrocampista,Lecce,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Pavlovic,Difensore,Milan,6.50,8.00,2,0,2,0,0,0,1,0,0,0,0,0,0,True
Loftus-Cheek,Centrocampista,Milan,6.25,7.75,1,1,2,0,0,0,1,0,0,0,0,0,0,True
Beukema,Difensore,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lobotka,Centrocampista,Napoli,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Delprato,Difensore,Parma,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
El Aynaoui,Centrocampista,Roma,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Anjorin,Centrocampista,Torino,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Lovric,Centrocampista,Udinese,6.50,7.50,1,0,1,0,0,0,0,0,1,0,0,0,0,True
Buksa,Attaccante,Udinese,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Nicolussi Caviglia,Centrocampista,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Akanji,Difensore,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Djimsiti,Difensore,Atalanta,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Scalvini,Difensore,Atalanta,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Kossounou,Difensore,Atalanta,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Maldini,Centrocampista,Atalanta,5.50,5.25,0,0,2,0,1,0,0,0,0,0,0,0,0,True
Sulemana K.,Attaccante,Atalanta,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Lucumì,Difensore,Bologna,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Vitik,Difensore,Bologna,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Miranda J.,Difensore,Bologna,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Bernardeschi,Centrocampista,Bologna,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Dominguez B.,Attaccante,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Caprile,Portiere,Cagliari,6.25,5.25,2,0,2,0,0,0,0,0,0,0,0,2,0,True
Gaetano,Centrocampista,Cagliari,6.00,6.50,1,0,2,0,0,0,0,0,1,0,0,0,0,True
Perrone,Centrocampista,Como,6.00,5.75,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Baturina,Centrocampista,Como,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Comuzzo,Difensore,Fiorentina,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Ranieri L.,Difensore,Fiorentina,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Fagioli,Centrocampista,Fiorentina,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Malinovskyi,Centrocampista,Genoa,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Stanciu,Centrocampista,Genoa,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Bisseck,Difensore,Inter,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
De Vrij,Difensore,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Gatti,Difensore,Juventus,6.25,6.00,2,0,2,0,1,0,0,0,0,0,0,0,0,True
